,,Issue,Datatype,Type,Group,Path,Name/Label,Description,Data Range,Unit
,,,N/A,Branch,Chassis,Trailer.Chassis.Axle.PosX,Axle Position,This parameter indicates the identification number  x of an axle. The identification number X starts with one from the front of the respective towed vehicle,axle position X = [1 to 15], 
,,,N/A,Branch,Chassis,Trailer.Chassis.Axle.PosX.Wheel.PosY,Wheel Position ,This parameter indicates the identification number  Y of the tyre or wheel on axle X. The identification number Y starts with one from the left side of the respective towed vehicle,"axle position X
wheel position Y = [1 to 15]", 
,,,string,Attribute,Specification,Trailer.Specification.VIN,VIN,vehicle identification number as specified in ISO 3779 (encoded as a string), , 
,,for enums: allowed int or string?,enum,Attribute,Powertrain,Trailer.Powertrain.DriveSystem.Support,Truck drive system control support,"indicates if the towing vehicle supports the control of a drive system or retarder installed on the towed vehicle

","NO_DRIVE_SYSTEM_CONTROL
NEGATIVE_TORQUE_TO_CONTROL_DRIVE_SYSTEM
POSITIVE_TORQUE_TO_CONTROL_DRIVE_SYSTEM
BOTH_TORQUE_TO_CONTROL_DRIVE_SYSTEM
UNKNOWN", 
,,,float,Sensor,Powertrain,Trailer.Powertrain.Brake.Parking.Pressure,Park brake demand relative pressure,This parameter requests the brake pressure for the parking brake as a percentage of the maximum pressure.,0 - 100 ,Percentage
,,,float,Sensor,Powertrain,Trailer.Powertrain.Brake.Service.Pressure,Service brake demand pressure,This parameter requests the brake pressure value of the service brake.,0 - 1 255 ,KiloPascal
,,,enum,Sensor,Powertrain,Trailer.Powertrain.Brake.Service.Status,Vehicle service brake status,This parameter indicates the current status of the vehicle's service brake by observing the brake pressure.,"PASSIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Speed,Braking system wheel-based vehicle speed,"This parameter indicates the absolute value of the actual speed of the vehicle (for example, positive values for forward and backward speeds) calculated as the average of the wheel speeds of one axle influenced by slip and filtered by a frequency range of 5 Hz to 20 Hz.",0  - 250 ,KilometerPerHour
,,allowed int?,enum,Attribute,Powertrain,Trailer.Powertrain.DriveSystem.Retarder.Status,Vehicle retarder control status,This parameter indicates the current status in all cases the retarder functionality is applied by the driver's demand or by other systems (e.g. brakes).,"PASSIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,?,float,Sensor,Powertrain,Trailer.Powertrain.DriveSystem.Retarder.Torque,Retarder demand relative torque,This parameter requests the torque of the retarder as a percentage of the retarder wheel torque reference.,−125 / +125 ,Percentage
,,,int32,Sensor,Chassis,Trailer.Chassis.Axle.LoadSum,Axle load sum,This parameter indicates the sum of the static vertical loads of the vehicle axles.,0 - 128 510 ,Kilogramme
,,,float,Sensor,Powertrain,Trailer.Powertrain.Brake.SupplyPressure,Pneumatic supply pressure,This parameter indicates the actual pneumatic supply pressure of the reservoir of the braking system.,0 - 1 250,KiloPascal
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Wheel.PosY.Brake.Lining,Brake lining,"This parameter indicates the actual relative value of the brake lining of a specific brake. High values indicate new linings, small values indicate worn linings.",0 - 100,Percentage
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Wheel.PosY.Brake.Temperature,Brake temperature,This parameter indicates the actual temperature of a specific brake.,0 - 2 500 ,Celsius
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Wheel.PosY.Tyre.Pressure,Tyre pressure,This parameter indicates the actual tyre pressure of a specific wheel without any corrections.,0 -  2 500,KiloPascal
,,Is this per tyre or for all tyres?,enum,,,,Tyre module power supply status,This parameter indicates the current status of the power supply of the tyre module. It indicates whether it is sufficient to achieve the specified performance of the module.,"INSUFFICIENT
SUFFICIENT
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.Brake.Automatic.Status,Automatic towed vehicle braking status,This parameter indicates the current status of the automatic towed vehicle braking. This function is active when the pneumatic supply is insufficient or not connected. This parameter should be used for driver information.,"INACTIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.Brake.ABS.Status,Trailer ABS status,This parameter indicates the current status of the anti-lock braking function or system. The parameter is set active when the ABS starts to modulate the wheel brake pressure and is reset to passive when all wheels are in stable condition for a certain time period. The parameter can also be set active when driven wheels are in high slip (e.g. caused by the retarder).,"PASSIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.ASR.Brake.Status,ASR brake control status,This parameter indicates the current status of the ASR brake control function. ASR active indicates that the ASR function actually controls the wheel brake pressure at one or more wheels of the driven axles and does not indicate “installed” or “enabled”.,"PASSIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.ASR.Engine.Status,ASR engine control status,"This parameter indicates the current status of the ASR engine control function. ASR active indicates that the ASR function tries to control the engine torque and does not indicate “installed” or “enabled”. This status is independent of other control commands influencing the engine torque (e.g. transmission control requests), which can have higher priority.","PASSIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Wheel.PosY.Tyre.PressureStatus,Tire pressure status,"This parameter indicates the current status of the tyre pressure. An insufficient tyre pressure is indicated, if the pressure is outside of a pressure range recommended by the tyre or vehicle manufacturer, to ensure an optimized operation with regard to the fuel consumption of the vehicle and life time of the tyre.","INSUFFICIENT
SUFFICIENT
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Wheel.PosY.Brake.LiningStatus,Brake lining status,This parameter indicates the current status of the brake linings. An insufficient brake lining status is indicated if the linings are worn out.,"INSUFFICIENT
SUFFICIENT
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Wheel.PosY.Brake.TemperatureStatus,Brake temperature status,This parameter indicates the current status of the temperature of the brakes. A brake temperature out of range value is indicated if the brake temperature is higher than a specific level for proper operation.,"OUT_OF_RANGE
NORMAL_RANGE
ERROR
NOT_AVAILABLE", 
,,,enum,Attribute,Specification,Trailer.Specification.TowingType,Vehicle type (1),This parameter indicates if a vehicle is a converter towed vehicle or a towing or towed vehicle.,"TOWING_OR_TOWED_VEHICLE
CONVERTER_TOWED_VEHICLE
ERROR
NOT_AVAILABLE", 
,,,enum,Attribute,Powertrain,Trailer.Powertrain.DriveSystem.LRAA.Status,Loading ramp approach assistance status,This parameter indicates whether the loading ramp approach assistance is activated. The loading ramp approach assistance measures the distance to the loading ramp while reversing and applies the vehicle brakes accordingly.,"NOT_ACTIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,Shall it be possible to select axle pos?,float,Sensor,Chassis,Trailer.Chassis.Axle.PosX.SpeedDiff,Wheel speed difference ,"This parameter indicates the difference between the wheel speed on the right side and on the left side of the main axle, (wheel speed right - wheel speed left)",−125 /  125 ,KilometerPerHour
,,,enum,Attribute,Specification,Trailer.Specification.Type,vehicle type (2),indicates the type of the vehicle,"SEMI_TOWED_VEHICLE
CENTER_AXLE_TOWED_VEHICLE
FULL_TOWED_VEHICLE
CONVERTER_TOWED_VEHICLE
LINK_TOWED_VEHICLE
TOWING_SEMI_TOWED_VEHICLE
TOWING_CENTER_AXLE_TOWED_VEHICLE
TOWING_FULL_TOWED_VEHICLE
", 
,,??,float,Sensor,Powertrain,Trailer.Powertrain.DriveSystem.AirPressure,Parking And Trailer Air Pressure,The pneumatic pressure in the circuit or reservoir for the parking brake and/or the trailer supply.,"0 - 2,000 ",KiloPascal
,,,float,Attribute,Chassis,Trailer.Chassis.Axle.PosX.TrackWidth,Track Width,distance between the centre of the wheels at the same axle,"0 - 2,50",Meter
,,,int8,Attribute,Chassis,Trailer.Chassis.Axle.TotalCount,Axle count,total number of axles,0 to 250,
,,,int8,Attribute,Chassis,Trailer.Chassis.Axle.FrontCount,Front Axle count,total number of axles attached to the drawbar,0 to 250, 
,,,int8,Attribute,Chassis,Trailer.Chassis.Axle.Liftable.Count,Lift Axle Count,total number of liftable axles,0 to 250, 
,,Array of five,int[],Attribute,Chassis,Trailer.Chassis.Axle.Liftable.Position,Lift Axle Position,"axle position number of lift axle 1 to 5, with axle counting from the front to the rear and starting with 1",0 to 250, 
,,,float,Attribute,Chassis,Trailer.Chassis.Axle.PosX.NextDistance,wheel base distance to next axle,distance of the wheel base of axle position x to the next axle position  x+1 ,"0 - 25,0 ",Meter
,,,float,Attribute,Specification,Trailer.Specification.TotalLength,vehicle length,total length of vehicle,"0 - 25,0 ",Meter
,,???,enum,Sensor,,,Towed vehicle ROP system request,This parameter requests to enable or disable the towed vehicle ROP system.,"DISABLE
ENABLE
NOT_AVAILABLE", 
,,???,enum,Sensor,,,Towed vehicle YC system request,This parameter requests to enable or disable the towed vehicle YC system.,"DISABLE
ENABLE
NOT_AVAILABLE", 
,,Is this one or three signals?,enum,Attribute,Specification,Trailer.Specification.Detection.Status,Towed vehicle detection status,"This parameter is provided by any towed vehicle and indicates:
— if that vehicle is able to detect an additional towed vehicle (towed vehicle detection support);
— if an additional towed vehicle is detected (parameter “vehicle status”); and
— which type of brake system is detected in that vehicle (parameter “brake system type”).","NO_BRAKE_SYSTEM
ABS_DETECTED
EBS_DETECTED
ERROR
NOT_AVAILABLE", 
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.Driven.Load,Driven axle load,"This parameter indicates the current static vertical load on the driven axle of a vehicle. In case the vehicle is equipped with more than one driven axle, the value of the axle with the highest vertical load is transmitted.",0 - 128 510 ,Kilogramme
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.Liftable.No1.Position,Lift axle 1 position,This parameter indicates the position of the lift axle 1 or the load condition of the first tag axle. The numbering of the lift axles starts from the front axle position.,"DOWN
UP
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.Liftable.No2.Position,Lift axle 2 position,This parameter indicates the position of the lift axle 2 or the load condition of the second tag axle. The numbering of the lift axles starts from the front axle position.,"DOWN
UP
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.Liftable.No3.Position,Lift axle 3 position,This parameter indicates the position of the lift axle 3 or the load condition of the third tag axle. The numbering of the lift axles starts from the front axle position.,"DOWN
UP
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.Liftable.No4.Position,Lift axle 4 position,This parameter indicates the position of the lift axle 4 or the load condition of the fourth tag axle. The numbering of lift axles starts from the front axle position.,"DOWN
UP
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.Liftable.No5.Position,Lift axle 5 position,This parameter indicates the position of the lift axle 5 or the load condition of the fifth tag axle. The numbering of the lift axles starts from the front axle position.,"DOWN
UP
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.Steerable.Locking.Status,Steering axle locking status,This parameter indicates the current steering axle locking status.,"UNLOCKED
LOCKED
ERROR
NOT_AVAILABLE", 
,,,int16,Sensor,Powertrain,Trailer.Powertrain.DriveSystem.PneumaticPressure,Parking and towed vehicle air pressure,This parameter indicates the current pneumatic pressure on the circuit or reservoir for the parking brake and the towed vehicle supply.,0 -2 000 ,KiloPascal
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Wheel.PosY.Tyre.PressureThreshold,Tire pressure threshold detection,This parameter indicates the pressure level of one specific tyre. This parameter is used in conjunction with the tyre/wheel identification.,"EXTREME_OVER_PRESSURE
OVER_PRESSURE
NO_WARNING
UNDER_PRESSURE
EXTREME_UNDER_PRESSURE
ERROR
NOT_AVAILABLE", 
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Wheel.PosY.Tyre.Leakage,Air leakage detection,This parameter indicates the current air leakage (pressure loss) of a tyre. This parameter is used in conjunction with the tyre/wheel identification.,"0 - 6 425,5 ",PascalPerSecond
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Wheel.PosY.Tyre.Temperature,Tire temperature,This parameter indicates the current temperature of a tyre. This parameter is used in conjunction with the tyre/wheel identification.,−273 / 1 735,Celsius
,,"This seems more like a ""service"" than a signal? Trailer.Chassis.Axle.PosX.Load.Internal and Trailer.Chassis.Axle.PosX.Wheel.PosY can be used by a service to find it by tyre/wheel identification.",float,Sensor,Chassis,,Axle load,This parameter indicates the static vertical load of a vehicle axle identified by a tyre/wheel identification,"0 -  32 127,5 ",Kilogramme
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.Driven.MaxLoad,Maximum driven axle load,This parameter indicates the maximum allowed static vertical load on the driven axle of a vehicle. In case of the vehicle is equipped with more than one driven axle the value of the axle with the highest vertical load is transmitted.,0 - 128 510 ,Kilogramme
,,?,float,Sensor,Chassis,Trailer.Chassis.Axle.FifthWheel.Load,Fifth wheel load,This parameter indicates the fifth wheel load of a vehicle.,0 - 128 510,Kilogramme
,,,float,Sensor,Ambient,Trailer.Ambient.Temperature,Ambient air temperature,This parameter indicates the ambient air temperature.,-273 to 1734.96875 °C,Celsius
,,,,,,,Parking brake status,This parameter indicates the current status of the parking brake. The purpose of this signal is to indicate to the towed vehicle that the parking brake in the towing vehicle is applied.,"PASSIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,"""one or several vehicle axles identified by the tyre/wheel identification and axle load calibration data storage request"" See comment above regarding service vs signal",float,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Load.Internal,axle load measured by towed vehicle,"This parameter indicates the static vertical load, measured by the towed vehicle at the time of the axle load calibration, of one or several vehicle axles identified by the tyre/wheel identification and axle load calibration data storage request.",0 - 64 255 ,Kilogramme
,,"""one or several vehicle axles identified by the tyre/wheel identification and axle load calibration data storage request"" See comment above regarding service vs signal",float,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Load.External,axle load measured by external scale,"This parameter indicates the static vertical load, measured by an external scale at the time of the axle load calibration, of one or several vehicle axles identified by the tyre/wheel identification and axle load calibration data storage request.",0 - 64 255,Kilogramme
,,,enum,Sensor,Chassis,Trailer.Chassis.Axle.PosX.Load.Level,axle load calibration data load level,"This parameter indicates the load case the calibration data belongs to. Each axle can be calibrated at one out of the three levels: heavy, medium and light load.","LOW_LOAD
HEAVY_LOAD
MEDIUM_LOAD
ERROR
NOT_AVAILABLE", 
